Department,Google Maps Link
Arabic,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Arabic%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Bengali,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Bengali%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Criminology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Criminology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Economics,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Economics%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
English,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20English%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
General History,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20General%20History%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
International Relations,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20International%20Relations%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Islamic History,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Islamic%20History%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Library & Information Science,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Library%20%26%20Information%20Science%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Mass Communication,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Mass%20Communication%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Persian,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Persian%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Philosophy,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Philosophy%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Political Science,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Political%20Science%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Psychology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Psychology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Sindhi,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Sindhi%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Sociology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Sociology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Social Work,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Social%20Work%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Urdu,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Urdu%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Visual Studies,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Visual%20Studies%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Education,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Education%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Special Education,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Special%20Education%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Teacher Education,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Teacher%20Education%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Chemical Engineering,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Chemical%20Engineering%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Islamic Learning,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Islamic%20Learning%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Quran Wa Sunnah,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Quran%20Wa%20Sunnah%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Usul-ud-Din,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Usul-ud-Din%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Sirah Chair,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Sirah%20Chair%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
School of Law,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=School%20of%20Law%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Karachi University Business School,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Karachi%20University%20Business%20School%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Commerce,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Commerce%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Public Administration,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Public%20Administration%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Affiliated Medical and Dental Colleges,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Karachi%20Medical%20%26%20Dental%20College%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Pharmaceutical Chemistry,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Pharmaceutical%20Chemistry%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Pharmaceutics,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Pharmaceutics%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Pharmacognosy,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Pharmacognosy%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Pharmacology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Pharmacology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Agriculture & Agribusiness Management,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Agriculture%20%26%20Agribusiness%20Management%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Applied Chemistry & Chemical Technology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Applied%20Chemistry%20%26%20Chemical%20Technology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Applied Physics,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Applied%20Physics%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Biochemistry,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Biochemistry%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Biotechnology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Biotechnology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Botany,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Botany%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Chemistry,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Chemistry%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Computer Science (UBIT),"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Computer%20Science%20%28UBIT%29%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Food Science & Technology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Food%20Science%20%26%20Technology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Genetics,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Genetics%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Geology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Geology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Geography,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Geography%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Health & Physical Education,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Health%20%26%20Physical%20Education%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Mathematical Sciences,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Mathematical%20Sciences%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Microbiology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Microbiology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Petroleum Technology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Petroleum%20Technology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Physics,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Physics%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Physiology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Physiology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Statistics,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Statistics%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Zoology,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Department%20of%20Zoology%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Library,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Central%20Library%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Administration Block,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Administration%20Block%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
Medical Center,"https://www.google.com/maps/dir/?api=1&origin=University+of+Karachi,+KU+Circular+Rd,+Karachi,+Pakistan&destination=Medical%20Center%2C%20University%20of%20Karachi%2C%20Karachi%2C%20Pakistan"
